Account,total_pnl,net_pnl,total_trades,win_rate,avg_pnl_per_trade,total_volume_usd,total_fees,avg_trade_size,win_rate_pct,roi,trader_label
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,288645.63374799996,2949,0.9267548321464903,104.77309925940996,64826841.9,20330.235968,21982.652390640895,92.67548321464903,0.4766171861227132,0x4f93fead...
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,218110.894918,1177,0.7349192863211554,187.35689197366185,10242344.58,2408.166935,8702.076958368734,73.49192863211555,2.1530135032129527,0xbd5fead7...
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,199407.322567,90,1.0,2216.728808133333,484126.9,98.27016499999999,5379.187777777778,100.0,41.20935910233453,0x420ab45e...
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,167264.139938,2060,0.8174757281553398,81.87281795825243,5167788.4,1393.865056,2508.635145631068,81.74757281553397,3.2636399159454745,0x2c229d22...
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,131363.836605,6772,0.8620791494388659,19.560663696692263,3436045.78,1100.977949,507.39010336680445,86.20791494388659,3.8551527841983533,0x28736f43...
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,125449.451117,892,0.976457399103139,141.90464364798206,3227118.29,1129.491017,3617.8456165919283,97.6457399103139,3.922352103616258,0x92f17e8d...
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,108624.579633,426,0.9882629107981221,255.23759805633802,341856.86,106.637139,802.4808920187793,98.82629107981221,31.806065489515117,0x6d6a4b95...
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,104810.572416,5561,0.9703290775040461,19.11578407768387,10339111.75,1492.30284,1859.2180812803454,97.0329077504046,1.0281625523198354,0xa0feb372...
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,102751.051471,3663,0.822003822003822,28.212862724815725,2149498.16,592.66469,586.8135844935846,82.20038220038221,4.807806681769851,0x47add9a5...
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,72758.02158,255,0.9372549019607843,285.67248734117646,307895.91,88.462692,1207.4349411764704,93.72549019607843,23.659451751729996,0xa520ded0...
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,67620.587437,230,1.0,294.9809544826087,655894.7,225.032094,2851.7160869565214,100.0,10.343980448538463,0xae5eacaf...
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,63732.36931,714,0.8837535014005602,91.7558233977591,5934264.76,1781.288596,8311.295182072829,88.37535014005601,1.103989467197281,0x8381e6d8...
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,53383.061858,158,1.0,338.58384331012655,501721.69,113.185385,3175.453734177215,100.0,10.662534291272118,0x3f9a0aad...
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,46215.466089,4166,0.7736437830052808,11.494316013922226,6057897.81,1669.854425,1454.1281349015842,77.36437830052807,0.7904610149572663,0x23e7a7f8...
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,42255.087595,6559,0.5990242415002287,6.69568668638512,6141636.37,1661.921381,936.3677953956396,59.90242415002287,0.7150701593230274,0x8477e447...
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,8723.337871,2641,0.8034835289663006,8.515146088981448,54428452.04,13765.16295,20609.031442635365,80.34835289663006,0.041317546206298475,0xb899e522...
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,21399.238071,230,0.7478260869565218,94.6036163173913,2268016.73,359.593682,9860.942304347825,74.78260869565217,0.9593770392072901,0xaf40fdc4...
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,14585.199874,746,0.9450402144772118,19.973784245308313,2919969.5300000003,315.243173,3914.1682707774803,94.50402144772117,0.5102944703330516,0x7f4f299f...
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,13675.572072,1767,0.66553480475382,8.181618186757214,8584033.78,781.347264,4857.970447085455,66.553480475382,0.16841638449377117,0x39cef799...
